Title, WatchedOrNot
"Marriage Story","1"
"The Irishman","1"
"Terminator Genisys","1"
"6 Underground","1"
"Christmas Wedding Planner","0"
"Rumor Has It","0"
"Kick","0"
"Manchester by the Sea","0"
"2HeartBreaker","0"
"In a Valley of Violence","0"
"Back of the net","0"
"Locked out","0"
"The Great Challenge","0"
"Ghost Stories","0"
"The Dark Knight","1"
